id,timestamp,device,s4mmet1.envtmp.mag.f,s2mmet1.envtmp.mag.f,s3mmet1.envtmp.mag.f,s5mmet1.envtmp.mag.f,tmpcntmmet1.envtmp.mag.f,tmppctmmet1.envtmp.mag.f,s2mmet1.poainsol1.mag.f,s3mmet1.poainsol1.mag.f,s4mmet1.poainsol1.mag.f,s5mmet1.poainsol1.mag.f,tmpcntmmet1.poainsol1.mag.f,tmppctmmet1.poainsol1.mag.f,s4pvstmp1.tmp.mag.f,s2pvstmp1.tmp.mag.f,s3pvstmp1.tmp.mag.f,s5pvstmp1.tmp.mag.f,tmpcntpvstmp1.tmp.mag.f,tmppctpvstmp1.tmp.mag.f
3276816,1/1/2025 5:50,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,-0.392293304,0.28742981,-0.040069504,0.157702498,12,100,6.931747153,5.10589695,8.069402695,0.681439188,15,100
3276817,1/1/2025 6:00,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,-0.315216064,0.508168519,0.107069805,0.187605357,12,100,7.015760787,5.515835285,7.932754993,0.530007199,13,100
3277025,1/1/2025 5:40,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,-0.248636886,0.396062225,0.099290331,0.165864275,13,100,6.886340592,5.609779358,7.958374977,0.548244735,11,100
3277026,1/1/2025 5:50,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,-0.290690094,0.448608398,0.014810525,0.189493,10,100,6.521671998,5.661019325,8.27436924,0.67816629,13,100
3277233,1/1/2025 6:20,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,-0.371271759,0.441594452,0.050587577,0.207475149,12,100,6.952534387,4.879581928,8.308530807,0.66139788,12,100
3277236,1/1/2025 8:36,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,-0.381774902,0.466120392,0.03451205,0.180388946,13,100,6.595731842,5.661019325,7.710704803,0.490958658,12,100
3277448,1/1/2025 8:56,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,0.094721474,0.876057923,0.550961764,0.179704949,13,100,7.587249688,6.826781273,8.923435211,0.566125547,12,100
3277653,1/1/2025 9:06,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,0.154291794,0.827000916,0.565564701,0.182100535,12,100,7.950044561,6.942074299,9.192455292,0.592860836,13,100
3277656,1/1/2025 8:36,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,-0.027903238,0.79548645,0.455774053,0.218414623,13,100,8.797166473,5.127252102,12.74097443,1.287262047,23,100
3277657,1/1/2025 8:46,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,-0.003377279,0.834019959,0.387403147,0.180691535,13,100,9.620283581,6.096577644,18.21960831,1.821719059,24,100
3277863,1/1/2025 9:06,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,0.007125854,0.813008606,0.371564825,0.181904193,14,100,10.16924296,4.495263577,19.68000984,2.423758943,22,100
3278073,1/1/2025 11:53,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,-0.059427898,0.879562378,0.415486281,0.285619874,14,100,12.07974814,8.931978226,21.08916473,1.571079422,20,100
3278075,1/1/2025 11:13,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,0.08771769,0.774439514,0.469893962,0.205948888,11,100,12.47131589,-1.120019436,15.65323448,2.566337189,22,100
3278493,1/1/2025 14:40,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,0.0702006,0.690368652,0.410595467,0.166806268,14,100,13.8671435,10.99019909,16.7207756,1.160338874,25,100
3278496,1/1/2025 14:10,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,0.157806396,0.644810975,0.36857922,0.119410496,13,100,13.55178705,-0.658834934,24.09109879,3.10181806,23,100
3278703,1/1/2025 14:40,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,-0.052429199,0.753428161,0.367078277,0.196506668,12,100,13.87371189,8.287181854,25.60700989,2.85492159,28,100
3278706,1/1/2025 14:10,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,-0.069946289,0.662328064,0.384096647,0.158662476,13,100,13.25278578,5.40908432,18.70213699,1.80082582,24,100
3278707,1/1/2025 14:20,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,-0.097971596,0.721898377,0.353419695,0.192669543,12,100,12.58180955,2.078343868,15.75144958,1.924030662,21,100
3278914,1/1/2025 14:50,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,0.182317093,0.7394104,0.557228736,0.126005013,12,100,11.5397457,1.595816612,15.26037979,2.35485998,21,100
3278918,1/1/2025 17:16,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,-0.066441856,0.690363586,0.320703492,0.186281248,12,100,10.89635623,8.201774597,15.4995079,1.424777508,20,100
