Time,sanitized_timestamp_for_iri,s4MMXU.TotW.mag.f
2024-06-29T02:30:00,20240629023000,1538
2024-06-29T02:40:00,20240629024000,3507
2024-06-29T02:50:00,20240629025000,5475
2024-06-29T03:00:00,20240629030000,7443
2024-06-29T03:10:00,20240629031000,0
2024-06-29T03:20:00,20240629032000,0
2024-06-29T03:30:00,20240629033000,0
2024-06-29T03:40:00,20240629034000,0
2024-06-29T03:50:00,20240629035000,0
2024-06-29T04:00:00,20240629040000,0
2024-06-29T04:10:00,20240629041000,11035
2024-06-29T04:20:00,20240629042000,12059
2024-06-29T04:30:00,20240629043000,13082
2024-06-29T04:40:00,20240629044000,14106
2024-06-29T04:50:00,20240629045000,15129
2024-06-29T05:00:00,20240629050000,16153
2024-06-29T05:10:00,20240629051000,14181
2024-06-29T05:20:00,20240629052000,15026
2024-06-29T05:30:00,20240629053000,15871
2024-06-29T05:40:00,20240629054000,16716
2024-06-29T05:50:00,20240629055000,17561
2024-06-29T06:00:00,20240629060000,18406
2024-06-29T06:10:00,20240629061000,10004
2024-06-29T06:20:00,20240629062000,10443
2024-06-29T06:30:00,20240629063000,10882
2024-06-29T06:40:00,20240629064000,11322
2024-06-29T06:50:00,20240629065000,11761
2024-06-29T07:00:00,20240629070000,12200
2024-06-29T07:10:00,20240629071000,4917
2024-06-29T07:20:00,20240629072000,5088
2024-06-29T07:30:00,20240629073000,5259
2024-06-29T07:40:00,20240629074000,5429
2024-06-29T07:50:00,20240629075000,5600
2024-06-29T08:00:00,20240629080000,5771
2024-06-29T08:10:00,20240629081000,5942
2024-06-29T08:20:00,20240629082000,6113
2024-06-29T08:30:00,20240629083000,6284
2024-06-29T08:40:00,20240629084000,6454
2024-06-29T08:50:00,20240629085000,6625
2024-06-29T09:00:00,20240629090000,6796
2024-06-29T09:10:00,20240629091000,6967
2024-06-29T09:20:00,20240629092000,7138
2024-06-29T09:30:00,20240629093000,7309
2024-06-29T09:40:00,20240629094000,7479
2024-06-29T09:50:00,20240629095000,7650
2024-06-29T10:00:00,20240629100000,7821
2024-06-29T10:10:00,20240629101000,7992
2024-06-29T10:20:00,20240629102000,12942
2024-06-29T10:30:00,20240629103000,102507
2024-06-29T10:40:00,20240629104000,223156
2024-06-29T10:50:00,20240629105000,343804
2024-06-29T11:00:00,20240629110000,464453
2024-06-29T11:10:00,20240629111000,585101
2024-06-29T11:20:00,20240629112000,705750
2024-06-29T11:30:00,20240629113000,826399
2024-06-29T11:40:00,20240629114000,947047
2024-06-29T11:50:00,20240629115000,1067696
2024-06-29T12:00:00,20240629120000,1188344
2024-06-29T12:10:00,20240629121000,1308993
2024-06-29T12:20:00,20240629122000,1429642
2024-06-29T12:30:00,20240629123000,1529697
2024-06-29T12:40:00,20240629124000,1498469
2024-06-29T12:50:00,20240629125000,1444022
2024-06-29T13:00:00,20240629130000,1389575
2024-06-29T13:10:00,20240629131000,1335127
2024-06-29T13:20:00,20240629132000,1280680
2024-06-29T13:30:00,20240629133000,1226233
2024-06-29T13:40:00,20240629134000,1171785
2024-06-29T13:50:00,20240629135000,1133782
2024-06-29T14:00:00,20240629140000,1121047
2024-06-29T14:10:00,20240629141000,1045613
2024-06-29T14:20:00,20240629142000,1006750
2024-06-29T14:30:00,20240629143000,967888
2024-06-29T14:40:00,20240629144000,929025
2024-06-29T14:50:00,20240629145000,890163
2024-06-29T15:00:00,20240629150000,851300
2024-06-29T15:10:00,20240629151000,832398
2024-06-29T15:20:00,20240629152000,795916
2024-06-29T15:30:00,20240629153000,759434
2024-06-29T15:40:00,20240629154000,722952
2024-06-29T15:50:00,20240629155000,686470
2024-06-29T16:00:00,20240629160000,649988
2024-06-29T16:10:00,20240629161000,698146
2024-06-29T16:20:00,20240629162000,667548
2024-06-29T16:30:00,20240629163000,636950
2024-06-29T16:40:00,20240629164000,606352
2024-06-29T16:50:00,20240629165000,575754
2024-06-29T17:00:00,20240629170000,545156
2024-06-29T17:10:00,20240629171000,601185
2024-06-29T17:20:00,20240629172000,574837
2024-06-29T17:30:00,20240629173000,548488
2024-06-29T17:40:00,20240629174000,522140
2024-06-29T17:50:00,20240629175000,495791
2024-06-29T18:00:00,20240629180000,469443
2024-06-29T18:10:00,20240629181000,502008
2024-06-29T18:20:00,20240629182000,477892
2024-06-29T18:30:00,20240629183000,453777
2024-06-29T18:40:00,20240629184000,429661
2024-06-29T18:50:00,20240629185000,405545
2024-06-29T19:00:00,20240629190000,381430
2024-06-29T19:10:00,20240629191000,357314
2024-06-29T19:20:00,20240629192000,333198
2024-06-29T19:30:00,20240629193000,309083
2024-06-29T19:40:00,20240629194000,284967
2024-06-29T19:50:00,20240629195000,260851
2024-06-29T20:00:00,20240629200000,236736
2024-06-29T20:10:00,20240629201000,212620
2024-06-29T20:20:00,20240629202000,188504
2024-06-29T20:30:00,20240629203000,164389
2024-06-29T20:40:00,20240629204000,140273
2024-06-29T20:50:00,20240629205000,116157
2024-06-29T21:00:00,20240629210000,92041
2024-06-29T21:10:00,20240629211000,67926
2024-06-29T21:20:00,20240629212000,43810
2024-06-29T21:30:00,20240629213000,19694
2024-06-29T21:40:00,20240629214000,1209
2024-06-29T21:50:00,20240629215000,0
2024-06-29T22:00:00,20240629220000,0
2024-06-29T22:10:00,20240629221000,0
2024-06-29T22:20:00,20240629222000,0
2024-06-29T22:30:00,20240629223000,0
2024-06-29T22:40:00,20240629224000,0
2024-06-29T22:50:00,20240629225000,0
2024-06-29T23:00:00,20240629230000,0
2024-06-29T23:10:00,20240629231000,0
2024-06-29T23:20:00,20240629232000,0
2024-06-29T23:30:00,20240629233000,0
2024-06-29T23:40:00,20240629234000,0
2024-06-29T23:50:00,20240629235000,0
2024-06-30T00:00:00,20240630000000,0
2024-06-30T00:10:00,20240630001000,0
2024-06-30T00:20:00,20240630002000,0
2024-06-30T00:30:00,20240630003000,0
2024-06-30T00:40:00,20240630004000,0
2024-06-30T00:50:00,20240630005000,0
2024-06-30T01:00:00,20240630010000,0
2024-06-30T01:10:00,20240630011000,453
2024-06-30T01:20:00,20240630012000,490
2024-06-30T01:30:00,20240630013000,527
2024-06-30T01:40:00,20240630014000,564
2024-06-30T01:50:00,20240630015000,601
2024-06-30T02:00:00,20240630020000,638
2024-06-30T02:10:00,20240630021000,85196
2024-06-30T02:20:00,20240630022000,89881
2024-06-30T02:30:00,20240630023000,94566
2024-06-30T02:40:00,20240630024000,99252
2024-06-30T02:50:00,20240630025000,103937
2024-06-30T03:00:00,20240630030000,108622
2024-06-30T03:10:00,20240630031000,390432
2024-06-30T03:20:00,20240630032000,406577
2024-06-30T03:30:00,20240630033000,422722
2024-06-30T03:40:00,20240630034000,438866
2024-06-30T03:50:00,20240630035000,455011
2024-06-30T04:00:00,20240630040000,471156
2024-06-30T04:10:00,20240630041000,549462
2024-06-30T04:20:00,20240630042000,567667
2024-06-30T04:30:00,20240630043000,585871
2024-06-30T04:40:00,20240630044000,604075
2024-06-30T04:50:00,20240630045000,622279
2024-06-30T05:00:00,20240630050000,640483
2024-06-30T05:10:00,20240630051000,658687
2024-06-30T05:20:00,20240630052000,676892
2024-06-30T05:30:00,20240630053000,695096
2024-06-30T05:40:00,20240630054000,713300
2024-06-30T05:50:00,20240630055000,731504
2024-06-30T06:00:00,20240630060000,749708
2024-06-30T06:10:00,20240630061000,767912
2024-06-30T06:20:00,20240630062000,786117
2024-06-30T06:30:00,20240630063000,804321
2024-06-30T06:40:00,20240630064000,822525
2024-06-30T06:50:00,20240630065000,840729
2024-06-30T07:00:00,20240630070000,858933
2024-06-30T07:10:00,20240630071000,887208
2024-06-30T07:20:00,20240630072000,946385
2024-06-30T07:30:00,20240630073000,1007724
2024-06-30T07:40:00,20240630074000,1069063
2024-06-30T07:50:00,20240630075000,1130402
2024-06-30T08:00:00,20240630080000,1191741
