Time,sanitized_timestamp_for_iri,s4MMET.POAInsol1.mag.f,s4PVSTMP.Tmp.mag.f
2024-06-28T17:20:00,20240628172000,0.358,30.6
2024-06-28T17:30:00,20240628173000,0.49,30.3
2024-06-28T17:40:00,20240628174000,0.335,28.7
2024-06-28T17:50:00,20240628175000,0.33,27.8
2024-06-28T18:00:00,20240628180000,0.322,27.7
2024-06-28T18:10:00,20240628181000,0.345,27.7
2024-06-28T18:20:00,20240628182000,0.483,27.7
2024-06-28T18:30:00,20240628183000,0.457,26.0
2024-06-28T18:40:00,20240628184000,0.437,25.0
2024-06-28T18:50:00,20240628185000,0.337,25.1
2024-06-28T19:00:00,20240628190000,0.298,24.9
2024-06-28T19:10:00,20240628191000,0.378,23.9
2024-06-28T19:20:00,20240628192000,0.194,23.3
2024-06-28T19:30:00,20240628193000,0.242,22.7
2024-06-28T19:40:00,20240628194000,0.249,22.0
2024-06-28T19:50:00,20240628195000,0.201,21.6
2024-06-28T20:00:00,20240628200000,0.252,21.1
2024-06-28T20:10:00,20240628201000,0.272,20.6
2024-06-28T20:20:00,20240628202000,0.279,20.5
2024-06-28T20:30:00,20240628203000,0.197,20.4
2024-06-28T20:40:00,20240628204000,0.0783,20.3
2024-06-28T20:50:00,20240628205000,0.168,20.2
2024-06-28T21:00:00,20240628210000,0.255,20.1
2024-06-28T21:10:00,20240628211000,0.206,20.1
2024-06-28T21:20:00,20240628212000,0.0785,19.9
2024-06-28T21:30:00,20240628213000,0.395,19.6
2024-06-28T21:40:00,20240628214000,0.226,19.6
2024-06-28T21:50:00,20240628215000,0.31,19.6
2024-06-28T22:00:00,20240628220000,0.234,19.4
2024-06-28T22:10:00,20240628221000,0.222,19.4
2024-06-28T22:20:00,20240628222000,0.268,19.3
2024-06-28T22:30:00,20240628223000,0.101,19.1
2024-06-28T22:40:00,20240628224000,0.181,19.6
2024-06-28T22:50:00,20240628225000,0.229,20.0
2024-06-28T23:00:00,20240628230000,0.067,19.8
2024-06-28T23:10:00,20240628231000,0.111,19.7
2024-06-28T23:20:00,20240628232000,0.291,19.5
2024-06-28T23:30:00,20240628233000,0.203,20.0
2024-06-28T23:40:00,20240628234000,0.2,19.8
2024-06-28T23:50:00,20240628235000,0.284,19.9
2024-06-29T00:00:00,20240629000000,0.153,20.0
2024-06-29T00:10:00,20240629001000,0.269,19.8
2024-06-29T00:20:00,20240629002000,0.262,20.1
2024-06-29T00:30:00,20240629003000,0.332,20.6
2024-06-29T00:40:00,20240629004000,0.145,20.4
2024-06-29T00:50:00,20240629005000,0.107,20.5
2024-06-29T01:00:00,20240629010000,0.142,20.9
2024-06-29T01:10:00,20240629011000,0.106,20.7
2024-06-29T01:20:00,20240629012000,0.0138,20.4
2024-06-29T01:30:00,20240629013000,0.173,20.6
2024-06-29T01:40:00,20240629014000,0.208,20.1
2024-06-29T01:50:00,20240629015000,0.33,20.4
