Time,sanitized_timestamp_for_iri,s4MMET.POAInsol1.mag.f
2024-06-30T09:30:00,20240630093000,845.0
2024-06-30T09:40:00,20240630094000,864.0
2024-06-30T09:50:00,20240630095000,895.0
2024-06-30T10:00:00,20240630100000,915.0
2024-06-30T10:10:00,20240630101000,932.0
2024-06-30T10:20:00,20240630102000,952.0
2024-06-30T10:30:00,20240630103000,950.0
2024-06-30T10:40:00,20240630104000,928.0
2024-06-30T10:50:00,20240630105000,864.0
2024-06-30T11:00:00,20240630110000,917.0
2024-06-30T11:10:00,20240630111000,683.0
2024-06-30T11:20:00,20240630112000,577.0
2024-06-30T11:30:00,20240630113000,613.0
2024-06-30T11:40:00,20240630114000,540.0
2024-06-30T11:50:00,20240630115000,603.0
2024-06-30T12:00:00,20240630120000,536.0
2024-06-30T12:10:00,20240630121000,519.0
2024-06-30T12:20:00,20240630122000,506.0
2024-06-30T12:30:00,20240630123000,581.0
2024-06-30T12:40:00,20240630124000,525.0
2024-06-30T12:50:00,20240630125000,414.0
2024-06-30T13:00:00,20240630130000,539.0
2024-06-30T13:10:00,20240630131000,684.0
2024-06-30T13:20:00,20240630132000,725.0
2024-06-30T13:30:00,20240630133000,524.0
2024-06-30T13:40:00,20240630134000,455.0
2024-06-30T13:50:00,20240630135000,667.0
2024-06-30T14:00:00,20240630140000,359.0
2024-06-30T14:10:00,20240630141000,534.0
2024-06-30T14:20:00,20240630142000,495.0
2024-06-30T14:30:00,20240630143000,595.0
2024-06-30T14:40:00,20240630144000,512.0
2024-06-30T14:50:00,20240630145000,519.0
2024-06-30T15:00:00,20240630150000,602.0
2024-06-30T15:10:00,20240630151000,648.0
2024-06-30T15:20:00,20240630152000,403.0
2024-06-30T15:30:00,20240630153000,364.0
2024-06-30T15:40:00,20240630154000,344.0
2024-06-30T15:50:00,20240630155000,400.0
2024-06-30T16:00:00,20240630160000,277.0
2024-06-30T16:10:00,20240630161000,246.0
2024-06-30T16:20:00,20240630162000,210.0
2024-06-30T16:30:00,20240630163000,302.0
2024-06-30T16:40:00,20240630164000,371.0
2024-06-30T16:50:00,20240630165000,331.0
2024-06-30T17:00:00,20240630170000,332.0
2024-06-30T17:10:00,20240630171000,274.0
2024-06-30T17:20:00,20240630172000,258.0
2024-06-30T17:30:00,20240630173000,182.0
2024-06-30T17:40:00,20240630174000,127.0
2024-06-30T17:50:00,20240630175000,124.0
2024-06-30T18:00:00,20240630180000,129.0
2024-06-30T18:10:00,20240630181000,114.0
